agency_cd,site_no,Datetime,Mean_CFS,294516_00060_00003_cd
USGS,4174490,2011-10-01,3.70,A
USGS,4174490,2011-10-02,2.85,A
USGS,4174490,2011-10-03,2.68,A
USGS,4174490,2011-10-04,2.23,A
USGS,4174490,2011-10-05,2.29,A
USGS,4174490,2011-10-06,2.58,A
USGS,4174490,2011-10-07,2.49,A
USGS,4174490,2011-10-08,2.35,A
USGS,4174490,2011-10-09,2.40,A
USGS,4174490,2011-10-10,2.32,A
USGS,4174490,2011-10-11,2.14,A
USGS,4174490,2011-10-12,2.12,A
USGS,4174490,2011-10-13,8.78,A
USGS,4174490,2011-10-14,5.13,A
USGS,4174490,2011-10-15,3.89,A
USGS,4174490,2011-10-16,2.16,A
USGS,4174490,2011-10-17,2.07,A
USGS,4174490,2011-10-18,2.42,A
USGS,4174490,2011-10-19,24.2,A
USGS,4174490,2011-10-20,17.0,A
USGS,4174490,2011-10-21,5.49,A
USGS,4174490,2011-10-22,4.18,A
USGS,4174490,2011-10-23,3.82,A
USGS,4174490,2011-10-24,10.7,A
USGS,4174490,2011-10-25,3.88,A
USGS,4174490,2011-10-26,6.67,A
USGS,4174490,2011-10-27,3.90,A
USGS,4174490,2011-10-28,2.76,A
USGS,4174490,2011-10-29,2.73,A
USGS,4174490,2011-10-30,2.46,A
USGS,4174490,2011-10-31,2.31,A
USGS,4174490,2011-11-01,2.01,A
USGS,4174490,2011-11-02,2.03,A
USGS,4174490,2011-11-03,2.35,A
USGS,4174490,2011-11-04,2.18,A
USGS,4174490,2011-11-05,2.42,A
USGS,4174490,2011-11-06,2.55,A
USGS,4174490,2011-11-07,2.43,A
USGS,4174490,2011-11-08,2.71,A
USGS,4174490,2011-11-09,13.5,A
USGS,4174490,2011-11-10,3.62,A
USGS,4174490,2011-11-11,2.84,A
USGS,4174490,2011-11-12,2.32,A
USGS,4174490,2011-11-13,2.40,A
USGS,4174490,2011-11-14,17.8,A
USGS,4174490,2011-11-15,3.13,A
USGS,4174490,2011-11-16,2.72,A
USGS,4174490,2011-11-17,2.59,A
USGS,4174490,2011-11-18,2.30,A
USGS,4174490,2011-11-19,2.25,A
USGS,4174490,2011-11-20,1.97,A
USGS,4174490,2011-11-21,2.24,A
USGS,4174490,2011-11-22,30.3,A
USGS,4174490,2011-11-23,16.8,A
USGS,4174490,2011-11-24,5.30,A
USGS,4174490,2011-11-25,3.74,A
USGS,4174490,2011-11-26,2.83,A
USGS,4174490,2011-11-27,18.2,A
USGS,4174490,2011-11-28,15.7,A
USGS,4174490,2011-11-29,102,A
USGS,4174490,2011-11-30,17.3,A
USGS,4174490,2011-12-01,5.29,A
USGS,4174490,2011-12-02,6.48,A
USGS,4174490,2011-12-03,5.80,A
USGS,4174490,2011-12-04,13.7,A
USGS,4174490,2011-12-05,15.8,A
USGS,4174490,2011-12-06,6.55,A
USGS,4174490,2011-12-07,4.74,A
USGS,4174490,2011-12-08,4.17,A
USGS,4174490,2011-12-09,5.09,A
USGS,4174490,2011-12-10,3.81,A
USGS,4174490,2011-12-11,3.51,A
USGS,4174490,2011-12-12,3.33,A
USGS,4174490,2011-12-13,3.27,A
USGS,4174490,2011-12-14,18.0,A
USGS,4174490,2011-12-15,18.1,A
USGS,4174490,2011-12-16,5.81,A
USGS,4174490,2011-12-17,4.97,A
USGS,4174490,2011-12-18,4.28,A
USGS,4174490,2011-12-19,3.82,A
USGS,4174490,2011-12-20,3.43,A
USGS,4174490,2011-12-21,6.46,A
USGS,4174490,2011-12-22,4.03,A
USGS,4174490,2011-12-23,3.48,A
USGS,4174490,2011-12-24,2.94,A
USGS,4174490,2011-12-25,2.91,A
USGS,4174490,2011-12-26,2.93,A
USGS,4174490,2011-12-27,6.71,A
USGS,4174490,2011-12-28,3.32,A
USGS,4174490,2011-12-29,3.66,A
USGS,4174490,2011-12-30,10.7,A
USGS,4174490,2011-12-31,5.07,A
USGS,4174490,2012-01-01,3.76,A
USGS,4174490,2012-01-02,3.65,A
USGS,4174490,2012-01-03,3.32,A
USGS,4174490,2012-01-04,3.00,A
USGS,4174490,2012-01-05,2.93,A
USGS,4174490,2012-01-06,3.48,A
USGS,4174490,2012-01-07,3.88,A
USGS,4174490,2012-01-08,3.72,A
USGS,4174490,2012-01-09,3.68,A
USGS,4174490,2012-01-10,3.73,A
USGS,4174490,2012-01-11,5.43,A
USGS,4174490,2012-01-12,8.88,A
USGS,4174490,2012-01-13,4.50,A
USGS,4174490,2012-01-14,4.13,A
USGS,4174490,2012-01-15,3.95,A
USGS,4174490,2012-01-16,5.08,A
USGS,4174490,2012-01-17,40.0,A
USGS,4174490,2012-01-18,7.42,A
USGS,4174490,2012-01-19,5.20,A
USGS,4174490,2012-01-20,3.75,A
USGS,4174490,2012-01-21,3.71,A
USGS,4174490,2012-01-22,3.13,A
USGS,4174490,2012-01-23,24.1,A
USGS,4174490,2012-01-24,5.05,A
USGS,4174490,2012-01-25,4.07,A
USGS,4174490,2012-01-26,8.27,A
USGS,4174490,2012-01-27,8.64,A
USGS,4174490,2012-01-28,6.35,A
USGS,4174490,2012-01-29,4.18,A
USGS,4174490,2012-01-30,3.95,A
USGS,4174490,2012-01-31,4.25,A
USGS,4174490,2012-02-01,4.10,A
USGS,4174490,2012-02-02,3.74,A
USGS,4174490,2012-02-03,3.48,A
USGS,4174490,2012-02-04,3.21,A
