agency_cd,site_no,Datetime,Mean_CFS,294515_00060_00003_cd
USGS,4173500,1952-03-01,81.0,A
USGS,4173500,1952-03-02,80.0,A
USGS,4173500,1952-03-03,72.0,A
USGS,4173500,1952-03-04,262,A
USGS,4173500,1952-03-05,168,A
USGS,4173500,1952-03-06,119,A
USGS,4173500,1952-03-07,97.0,A
USGS,4173500,1952-03-08,88.0,A
USGS,4173500,1952-03-09,89.0,A
USGS,4173500,1952-03-10,106,A
USGS,4173500,1952-03-11,414,A
USGS,4173500,1952-03-12,447,A
USGS,4173500,1952-03-13,352,A
USGS,4173500,1952-03-14,240,A
USGS,4173500,1952-03-15,189,A
USGS,4173500,1952-03-16,147,A
USGS,4173500,1952-03-17,139,A
USGS,4173500,1952-03-18,146,A
USGS,4173500,1952-03-19,474,A
USGS,4173500,1952-03-20,300,A
USGS,4173500,1952-03-21,338,A
USGS,4173500,1952-03-22,292,A
USGS,4173500,1952-03-23,368,A
USGS,4173500,1952-03-24,248,A
USGS,4173500,1952-03-25,203,A
USGS,4173500,1952-03-26,182,A
USGS,4173500,1952-03-27,167,A
USGS,4173500,1952-03-28,153,A
USGS,4173500,1952-03-29,143,A
USGS,4173500,1952-03-30,134,A
USGS,4173500,1952-03-31,139,A
USGS,4173500,1952-04-01,146,A
USGS,4173500,1952-04-02,143,A
USGS,4173500,1952-04-03,130,A
USGS,4173500,1952-04-04,123,A
USGS,4173500,1952-04-05,248,A
USGS,4173500,1952-04-06,315,A
USGS,4173500,1952-04-07,292,A
USGS,4173500,1952-04-08,338,A
USGS,4173500,1952-04-09,285,A
USGS,4173500,1952-04-10,255,A
USGS,4173500,1952-04-11,218,A
USGS,4173500,1952-04-12,189,A
USGS,4173500,1952-04-13,492,A
USGS,4173500,1952-04-14,636,A
USGS,4173500,1952-04-15,528,A
USGS,4173500,1952-04-16,375,A
USGS,4173500,1952-04-17,270,A
USGS,4173500,1952-04-18,203,A
USGS,4173500,1952-04-19,171,A
USGS,4173500,1952-04-20,148,A
USGS,4173500,1952-04-21,140,A
USGS,4173500,1952-04-22,129,A
USGS,4173500,1952-04-23,292,A
USGS,4173500,1952-04-24,368,A
USGS,4173500,1952-04-25,174,A
USGS,4173500,1952-04-26,140,A
USGS,4173500,1952-04-27,125,A
USGS,4173500,1952-04-28,112,A
USGS,4173500,1952-04-29,102,A
USGS,4173500,1952-04-30,95.0,A
USGS,4173500,1952-05-01,89.0,A
USGS,4173500,1952-05-02,80.0,A
USGS,4173500,1952-05-03,77.0,A
USGS,4173500,1952-05-04,70.0,A
USGS,4173500,1952-05-05,68.0,A
USGS,4173500,1952-05-06,62.0,A
USGS,4173500,1952-05-07,68.0,A
USGS,4173500,1952-05-08,84.0,A
USGS,4173500,1952-05-09,90.0,A
USGS,4173500,1952-05-10,95.0,A
USGS,4173500,1952-05-11,89.0,A
USGS,4173500,1952-05-12,72.0,A
USGS,4173500,1952-05-13,70.0,A
USGS,4173500,1952-05-14,64.0,A
USGS,4173500,1952-05-15,104,A
USGS,4173500,1952-05-16,93.0,A
USGS,4173500,1952-05-17,80.0,A
USGS,4173500,1952-05-18,80.0,A
USGS,4173500,1952-05-19,70.0,A
USGS,4173500,1952-05-20,71.0,A
USGS,4173500,1952-05-21,112,A
USGS,4173500,1952-05-22,90.0,A
USGS,4173500,1952-05-23,146,A
USGS,4173500,1952-05-24,308,A
USGS,4173500,1952-05-25,338,A
USGS,4173500,1952-05-26,262,A
USGS,4173500,1952-05-27,203,A
USGS,4173500,1952-05-28,140,A
USGS,4173500,1952-05-29,108,A
USGS,4173500,1952-05-30,90.0,A
USGS,4173500,1952-05-31,75.0,A
USGS,4173500,1952-06-01,88.0,A
USGS,4173500,1952-06-02,75.0,A
USGS,4173500,1952-06-03,75.0,A
USGS,4173500,1952-06-04,72.0,A
USGS,4173500,1952-06-05,65.0,A
USGS,4173500,1952-06-06,62.0,A
USGS,4173500,1952-06-07,53.0,A
USGS,4173500,1952-06-08,51.0,A
USGS,4173500,1952-06-09,48.0,A
USGS,4173500,1952-06-10,45.0,A
USGS,4173500,1952-06-11,41.0,A
USGS,4173500,1952-06-12,39.0,A
USGS,4173500,1952-06-13,37.0,A
USGS,4173500,1952-06-14,37.0,A
USGS,4173500,1952-06-15,35.0,A
USGS,4173500,1952-06-16,34.0,A
USGS,4173500,1952-06-17,33.0,A
USGS,4173500,1952-06-18,31.0,A
USGS,4173500,1952-06-19,27.0,A
USGS,4173500,1952-06-20,28.0,A
USGS,4173500,1952-06-21,33.0,A
USGS,4173500,1952-06-22,41.0,A
USGS,4173500,1952-06-23,49.0,A
USGS,4173500,1952-06-24,41.0,A
USGS,4173500,1952-06-25,37.0,A
USGS,4173500,1952-06-26,33.0,A
USGS,4173500,1952-06-27,29.0,A
USGS,4173500,1952-06-28,33.0,A
USGS,4173500,1952-06-29,31.0,A
USGS,4173500,1952-06-30,30.0,A
USGS,4173500,1952-07-01,30.0,A
USGS,4173500,1952-07-02,30.0,A
USGS,4173500,1952-07-03,30.0,A
USGS,4173500,1952-07-04,30.0,A
USGS,4173500,1952-07-05,28.0,A
USGS,4173500,1952-07-06,27.0,A
USGS,4173500,1952-07-07,25.0,A
USGS,4173500,1952-07-08,25.0,A
USGS,4173500,1952-07-09,28.0,A
USGS,4173500,1952-07-10,28.0,A
USGS,4173500,1952-07-11,25.0,A
USGS,4173500,1952-07-12,22.0,A
USGS,4173500,1952-07-13,21.0,A
USGS,4173500,1952-07-14,20.0,A
USGS,4173500,1952-07-15,23.0,A
USGS,4173500,1952-07-16,25.0,A
USGS,4173500,1952-07-17,25.0,A
USGS,4173500,1952-07-18,25.0,A
USGS,4173500,1952-07-19,31.0,A
USGS,4173500,1952-07-20,28.0,A
USGS,4173500,1952-07-21,26.0,A
USGS,4173500,1952-07-22,23.0,A
USGS,4173500,1952-07-23,43.0,A
USGS,4173500,1952-07-24,24.0,A
USGS,4173500,1952-07-25,22.0,A
USGS,4173500,1952-07-26,20.0,A
USGS,4173500,1952-07-27,20.0,A
USGS,4173500,1952-07-28,20.0,A
USGS,4173500,1952-07-29,20.0,A
USGS,4173500,1952-07-30,19.0,A
USGS,4173500,1952-07-31,19.0,A
USGS,4173500,1952-08-01,19.0,A
USGS,4173500,1952-08-02,18.0,A
USGS,4173500,1952-08-03,18.0,A
USGS,4173500,1952-08-04,20.0,A
USGS,4173500,1952-08-05,20.0,A
USGS,4173500,1952-08-06,20.0,A
USGS,4173500,1952-08-07,19.0,A
USGS,4173500,1952-08-08,19.0,A
USGS,4173500,1952-08-09,25.0,A
USGS,4173500,1952-08-10,25.0,A
USGS,4173500,1952-08-11,23.0,A
USGS,4173500,1952-08-12,23.0,A
USGS,4173500,1952-08-13,22.0,A
USGS,4173500,1952-08-14,22.0,A
USGS,4173500,1952-08-15,20.0,A
USGS,4173500,1952-08-16,28.0,A
USGS,4173500,1952-08-17,28.0,A
USGS,4173500,1952-08-18,25.0,A
USGS,4173500,1952-08-19,23.0,A
USGS,4173500,1952-08-20,22.0,A
USGS,4173500,1952-08-21,22.0,A
USGS,4173500,1952-08-22,22.0,A
USGS,4173500,1952-08-23,22.0,A
USGS,4173500,1952-08-24,22.0,A
USGS,4173500,1952-08-25,22.0,A
USGS,4173500,1952-08-26,22.0,A
USGS,4173500,1952-08-27,20.0,A
USGS,4173500,1952-08-28,20.0,A
USGS,4173500,1952-08-29,19.0,A
USGS,4173500,1952-08-30,19.0,A
USGS,4173500,1952-08-31,22.0,A
USGS,4173500,1952-09-01,28.0,A
USGS,4173500,1952-09-02,54.0,A
USGS,4173500,1952-09-03,45.0,A
USGS,4173500,1952-09-04,34.0,A
USGS,4173500,1952-09-05,30.0,A
USGS,4173500,1952-09-06,28.0,A
USGS,4173500,1952-09-07,34.0,A
USGS,4173500,1952-09-08,30.0,A
USGS,4173500,1952-09-09,28.0,A
USGS,4173500,1952-09-10,27.0,A
USGS,4173500,1952-09-11,25.0,A
USGS,4173500,1952-09-12,24.0,A
USGS,4173500,1952-09-13,23.0,A
USGS,4173500,1952-09-14,23.0,A
USGS,4173500,1952-09-15,23.0,A
USGS,4173500,1952-09-16,22.0,A
USGS,4173500,1952-09-17,22.0,A
USGS,4173500,1952-09-18,23.0,A
USGS,4173500,1952-09-19,24.0,A
USGS,4173500,1952-09-20,23.0,A
USGS,4173500,1952-09-21,23.0,A
USGS,4173500,1952-09-22,22.0,A
USGS,4173500,1952-09-23,22.0,A
USGS,4173500,1952-09-24,22.0,A
USGS,4173500,1952-09-25,22.0,A
USGS,4173500,1952-09-26,21.0,A
USGS,4173500,1952-09-27,20.0,A
USGS,4173500,1952-09-28,20.0,A
USGS,4173500,1952-09-29,20.0,A
USGS,4173500,1952-09-30,19.0,A
USGS,4173500,1952-10-01,19.0,A
