agency_cd,site_no,Datetime,Mean_CFS,71272_00060_00003_cd
USGS,4170500,2005-01-01,166,A
USGS,4170500,2005-01-02,189,A
USGS,4170500,2005-01-03,248,A
USGS,4170500,2005-01-04,263,A
USGS,4170500,2005-01-05,288,A
USGS,4170500,2005-01-06,282,A
USGS,4170500,2005-01-07,179,A
USGS,4170500,2005-01-08,167,A
USGS,4170500,2005-01-09,186,A
USGS,4170500,2005-01-10,192,A
USGS,4170500,2005-01-11,199,A
USGS,4170500,2005-01-12,216,A
USGS,4170500,2005-01-13,269,A
USGS,4170500,2005-01-14,332,A
USGS,4170500,2005-01-15,348,A
USGS,4170500,2005-01-16,348,A
USGS,4170500,2005-01-17,332,A
USGS,4170500,2005-01-18,300,A
USGS,4170500,2005-01-19,279,A
USGS,4170500,2005-01-20,260,A:e
USGS,4170500,2005-01-21,250,A:e
USGS,4170500,2005-01-22,240,A:e
USGS,4170500,2005-01-23,230,A:e
USGS,4170500,2005-01-24,222,A:e
USGS,4170500,2005-01-25,217,A:e
USGS,4170500,2005-01-26,211,A
USGS,4170500,2005-01-27,206,A
USGS,4170500,2005-01-28,204,A
USGS,4170500,2005-01-29,199,A
USGS,4170500,2005-01-30,193,A
USGS,4170500,2005-01-31,187,A
USGS,4170500,2005-02-01,182,A
USGS,4170500,2005-02-02,174,A:e
USGS,4170500,2005-02-03,168,A
USGS,4170500,2005-02-04,161,A
USGS,4170500,2005-02-05,157,A
USGS,4170500,2005-02-06,154,A
USGS,4170500,2005-02-07,157,A
USGS,4170500,2005-02-08,172,A
USGS,4170500,2005-02-09,185,A
USGS,4170500,2005-02-10,186,A
USGS,4170500,2005-02-11,181,A
USGS,4170500,2005-02-12,175,A
USGS,4170500,2005-02-13,172,A
USGS,4170500,2005-02-14,186,A
USGS,4170500,2005-02-15,219,A
USGS,4170500,2005-02-16,272,A
USGS,4170500,2005-02-17,296,A
USGS,4170500,2005-02-18,297,A
USGS,4170500,2005-02-19,283,A
USGS,4170500,2005-02-20,270,A
USGS,4170500,2005-02-21,261,A
USGS,4170500,2005-02-22,244,A
USGS,4170500,2005-02-23,234,A
USGS,4170500,2005-02-24,224,A
USGS,4170500,2005-02-25,217,A
USGS,4170500,2005-02-26,212,A
USGS,4170500,2005-02-27,208,A
USGS,4170500,2005-02-28,206,A
USGS,4170500,2005-03-01,215,A
USGS,4170500,2005-03-02,212,A
USGS,4170500,2005-03-03,207,A
USGS,4170500,2005-03-04,203,A
USGS,4170500,2005-03-05,198,A
USGS,4170500,2005-03-06,198,A
USGS,4170500,2005-03-07,208,A
USGS,4170500,2005-03-08,226,A
USGS,4170500,2005-03-09,235,A
USGS,4170500,2005-03-10,235,A
USGS,4170500,2005-03-11,230,A
USGS,4170500,2005-03-12,224,A
USGS,4170500,2005-03-13,214,A
USGS,4170500,2005-03-14,207,A
USGS,4170500,2005-03-15,201,A:e
USGS,4170500,2005-03-16,194,A:e
USGS,4170500,2005-03-17,187,A
USGS,4170500,2005-03-18,184,A
USGS,4170500,2005-03-19,179,A
USGS,4170500,2005-03-20,180,A
USGS,4170500,2005-03-21,181,A
USGS,4170500,2005-03-22,183,A
USGS,4170500,2005-03-23,188,A
USGS,4170500,2005-03-24,185,A
USGS,4170500,2005-03-25,190,A
USGS,4170500,2005-03-26,193,A
USGS,4170500,2005-03-27,198,A
USGS,4170500,2005-03-28,204,A
USGS,4170500,2005-03-29,206,A
USGS,4170500,2005-03-30,209,A
USGS,4170500,2005-03-31,205,A:e
USGS,4170500,2005-04-01,212,A
USGS,4170500,2005-04-02,211,A
USGS,4170500,2005-04-03,194,A
USGS,4170500,2005-04-04,134,A
USGS,4170500,2005-04-05,120,A
USGS,4170500,2005-04-06,119,A
USGS,4170500,2005-04-07,120,A
USGS,4170500,2005-04-08,97.0,A
USGS,4170500,2005-04-09,91.0,A
USGS,4170500,2005-04-10,104,A
USGS,4170500,2005-04-11,60.0,A
USGS,4170500,2005-04-12,55.7,A
USGS,4170500,2005-04-13,64.0,A
USGS,4170500,2005-04-14,47.6,A
USGS,4170500,2005-04-15,45.9,A
USGS,4170500,2005-04-16,53.7,A
USGS,4170500,2005-04-17,60.5,A
USGS,4170500,2005-04-18,46.7,A
USGS,4170500,2005-04-19,45.1,A
USGS,4170500,2005-04-20,47.9,A:e
USGS,4170500,2005-04-21,58.0,A:e
USGS,4170500,2005-04-22,52.1,A
USGS,4170500,2005-04-23,52.3,A
USGS,4170500,2005-04-24,71.3,A
USGS,4170500,2005-04-25,96.2,A
USGS,4170500,2005-04-26,121,A
USGS,4170500,2005-04-27,99.4,A
USGS,4170500,2005-04-28,103,A
USGS,4170500,2005-04-29,122,A
USGS,4170500,2005-04-30,127,A
USGS,4170500,2005-05-01,125,A
USGS,4170500,2005-05-02,125,A
USGS,4170500,2005-05-03,121,A
USGS,4170500,2005-05-04,115,A
USGS,4170500,2005-05-05,108,A
USGS,4170500,2005-05-06,98.1,A
USGS,4170500,2005-05-07,94.9,A
USGS,4170500,2005-05-08,88.7,A
USGS,4170500,2005-05-09,84.4,A
USGS,4170500,2005-05-10,80.6,A
USGS,4170500,2005-05-11,84.0,A:e
USGS,4170500,2005-05-12,80.5,A
USGS,4170500,2005-05-13,80.0,A:e
USGS,4170500,2005-05-14,92.2,A
USGS,4170500,2005-05-15,95.8,A
USGS,4170500,2005-05-16,95.6,A
USGS,4170500,2005-05-17,92.0,A
USGS,4170500,2005-05-18,85.3,A
USGS,4170500,2005-05-19,79.7,A
USGS,4170500,2005-05-20,80.4,A
USGS,4170500,2005-05-21,76.2,A
USGS,4170500,2005-05-22,75.4,A
USGS,4170500,2005-05-23,82.9,A
USGS,4170500,2005-05-24,85.9,A
USGS,4170500,2005-05-25,83.0,A
USGS,4170500,2005-05-26,77.0,A
USGS,4170500,2005-05-27,73.6,A
USGS,4170500,2005-05-28,72.2,A
USGS,4170500,2005-05-29,65.7,A
USGS,4170500,2005-05-30,59.8,A
USGS,4170500,2005-05-31,52.1,A
USGS,4170500,2005-06-01,47.3,A
USGS,4170500,2005-06-02,44.2,A
USGS,4170500,2005-06-03,41.3,A
USGS,4170500,2005-06-04,39.9,A
USGS,4170500,2005-06-05,41.7,A
USGS,4170500,2005-06-06,48.4,A
USGS,4170500,2005-06-07,52.1,A
USGS,4170500,2005-06-08,50.8,A
USGS,4170500,2005-06-09,50.0,A
USGS,4170500,2005-06-10,49.3,A
USGS,4170500,2005-06-11,48.0,A:e
USGS,4170500,2005-06-12,60.0,A:e
USGS,4170500,2005-06-13,78.0,A:e
USGS,4170500,2005-06-14,82.7,A
USGS,4170500,2005-06-15,80.8,A
USGS,4170500,2005-06-16,81.5,A
USGS,4170500,2005-06-17,79.1,A
USGS,4170500,2005-06-18,80.0,A
USGS,4170500,2005-06-19,78.5,A
