agency_cd,site_no,Datetime,Mean_CFS,71272_00060_00003_cd
USGS,4170500,2008-01-01,144,A
USGS,4170500,2008-01-02,142,A
USGS,4170500,2008-01-03,132,A:e
USGS,4170500,2008-01-04,124,A:e
USGS,4170500,2008-01-05,121,A
USGS,4170500,2008-01-06,121,A
USGS,4170500,2008-01-07,136,A
USGS,4170500,2008-01-08,211,A
USGS,4170500,2008-01-09,309,A
USGS,4170500,2008-01-10,347,A
USGS,4170500,2008-01-11,354,A
USGS,4170500,2008-01-12,350,A
USGS,4170500,2008-01-13,337,A
USGS,4170500,2008-01-14,314,A
USGS,4170500,2008-01-15,301,A
USGS,4170500,2008-01-16,282,A
USGS,4170500,2008-01-17,266,A
USGS,4170500,2008-01-18,250,A
USGS,4170500,2008-01-19,242,A
USGS,4170500,2008-01-20,227,A:e
USGS,4170500,2008-01-21,214,A:e
USGS,4170500,2008-01-22,204,A:e
USGS,4170500,2008-01-23,192,A:e
USGS,4170500,2008-01-24,182,A:e
USGS,4170500,2008-01-25,172,A:e
USGS,4170500,2008-01-26,166,A:e
USGS,4170500,2008-01-27,160,A
USGS,4170500,2008-01-28,155,A
USGS,4170500,2008-01-29,157,A
USGS,4170500,2008-01-30,176,A
USGS,4170500,2008-01-31,180,A
USGS,4170500,2008-02-01,178,A
USGS,4170500,2008-02-02,173,A
USGS,4170500,2008-02-03,162,A
USGS,4170500,2008-02-04,156,A
USGS,4170500,2008-02-05,166,A
USGS,4170500,2008-02-06,235,A
USGS,4170500,2008-02-07,258,A
USGS,4170500,2008-02-08,267,A
USGS,4170500,2008-02-09,269,A
USGS,4170500,2008-02-10,264,A:e
USGS,4170500,2008-02-11,251,A:e
USGS,4170500,2008-02-12,238,A:e
USGS,4170500,2008-02-13,223,A:e
USGS,4170500,2008-02-14,214,A:e
USGS,4170500,2008-02-15,206,A:e
USGS,4170500,2008-02-16,198,A:e
USGS,4170500,2008-02-17,204,A
USGS,4170500,2008-02-18,235,A
USGS,4170500,2008-02-19,251,A
USGS,4170500,2008-02-20,257,A
USGS,4170500,2008-02-21,250,A
USGS,4170500,2008-02-22,236,A
USGS,4170500,2008-02-23,219,A:e
USGS,4170500,2008-02-24,206,A:e
USGS,4170500,2008-02-25,196,A:e
USGS,4170500,2008-02-26,186,A:e
USGS,4170500,2008-02-27,178,A:e
USGS,4170500,2008-02-28,170,A:e
USGS,4170500,2008-02-29,159,A
USGS,4170500,2008-03-01,157,A
USGS,4170500,2008-03-02,153,A
USGS,4170500,2008-03-03,155,A
USGS,4170500,2008-03-04,184,A
USGS,4170500,2008-03-05,207,A
USGS,4170500,2008-03-06,209,A
USGS,4170500,2008-03-07,202,A
USGS,4170500,2008-03-08,185,A
USGS,4170500,2008-03-09,174,A
USGS,4170500,2008-03-10,165,A
USGS,4170500,2008-03-11,159,A
USGS,4170500,2008-03-12,158,A
USGS,4170500,2008-03-13,159,A
USGS,4170500,2008-03-14,169,A
USGS,4170500,2008-03-15,185,A
USGS,4170500,2008-03-16,194,A
USGS,4170500,2008-03-17,196,A
USGS,4170500,2008-03-18,196,A
USGS,4170500,2008-03-19,208,A
USGS,4170500,2008-03-20,218,A
USGS,4170500,2008-03-21,224,A
USGS,4170500,2008-03-22,234,A
USGS,4170500,2008-03-23,229,A
USGS,4170500,2008-03-24,222,A
USGS,4170500,2008-03-25,210,A
USGS,4170500,2008-03-26,205,A
USGS,4170500,2008-03-27,202,A
USGS,4170500,2008-03-28,206,A
USGS,4170500,2008-03-29,203,A
USGS,4170500,2008-03-30,201,A
USGS,4170500,2008-03-31,207,A
USGS,4170500,2008-04-01,237,A
USGS,4170500,2008-04-02,261,A
USGS,4170500,2008-04-03,192,A
USGS,4170500,2008-04-04,203,A
USGS,4170500,2008-04-05,226,A
USGS,4170500,2008-04-06,234,A
USGS,4170500,2008-04-07,183,A
USGS,4170500,2008-04-08,181,A
USGS,4170500,2008-04-09,138,A
USGS,4170500,2008-04-10,142,A
