agency_cd,site_no,Datetime,Mean_CFS,71294_00060_00003_cd
USGS,4172000,2008-01-01,263,A
USGS,4172000,2008-01-02,265,A
USGS,4172000,2008-01-03,277,A
USGS,4172000,2008-01-04,306,A
USGS,4172000,2008-01-05,293,A
USGS,4172000,2008-01-06,249,A
USGS,4172000,2008-01-07,256,A
USGS,4172000,2008-01-08,334,A
USGS,4172000,2008-01-09,464,A:e
USGS,4172000,2008-01-10,618,A
USGS,4172000,2008-01-11,765,A
USGS,4172000,2008-01-12,822,A
USGS,4172000,2008-01-13,811,A
USGS,4172000,2008-01-14,767,A
USGS,4172000,2008-01-15,706,A
USGS,4172000,2008-01-16,640,A
USGS,4172000,2008-01-17,590,A
USGS,4172000,2008-01-18,540,A
USGS,4172000,2008-01-19,495,A
USGS,4172000,2008-01-20,436,A
USGS,4172000,2008-01-21,413,A
USGS,4172000,2008-01-22,403,A
USGS,4172000,2008-01-23,384,A:e
USGS,4172000,2008-01-24,369,A
USGS,4172000,2008-01-25,353,A:e
USGS,4172000,2008-01-26,334,A:e
USGS,4172000,2008-01-27,303,A
USGS,4172000,2008-01-28,282,A:e
USGS,4172000,2008-01-29,273,A
USGS,4172000,2008-01-30,284,A
USGS,4172000,2008-01-31,303,A
USGS,4172000,2008-02-01,391,A
USGS,4172000,2008-02-02,417,A
USGS,4172000,2008-02-03,330,A
USGS,4172000,2008-02-04,286,A
USGS,4172000,2008-02-05,283,A
USGS,4172000,2008-02-06,330,A
USGS,4172000,2008-02-07,399,A
USGS,4172000,2008-02-08,489,A
USGS,4172000,2008-02-09,552,A
USGS,4172000,2008-02-10,576,A
USGS,4172000,2008-02-11,545,A
USGS,4172000,2008-02-12,530,A:e
USGS,4172000,2008-02-13,508,A:e
USGS,4172000,2008-02-14,482,A:e
USGS,4172000,2008-02-15,450,A
USGS,4172000,2008-02-16,422,A
USGS,4172000,2008-02-17,405,A
USGS,4172000,2008-02-18,422,A
USGS,4172000,2008-02-19,447,A
USGS,4172000,2008-02-20,509,A
USGS,4172000,2008-02-21,534,A:e
USGS,4172000,2008-02-22,520,A
USGS,4172000,2008-02-23,468,A
USGS,4172000,2008-02-24,427,A:e
USGS,4172000,2008-02-25,392,A:e
USGS,4172000,2008-02-26,372,A
USGS,4172000,2008-02-27,355,A
USGS,4172000,2008-02-28,341,A
USGS,4172000,2008-02-29,327,A
USGS,4172000,2008-03-01,316,A
USGS,4172000,2008-03-02,302,A
USGS,4172000,2008-03-03,301,A
USGS,4172000,2008-03-04,327,A
USGS,4172000,2008-03-05,366,A
USGS,4172000,2008-03-06,404,A
USGS,4172000,2008-03-07,419,A
USGS,4172000,2008-03-08,410,A
USGS,4172000,2008-03-09,392,A
USGS,4172000,2008-03-10,369,A
USGS,4172000,2008-03-11,347,A
USGS,4172000,2008-03-12,331,A
USGS,4172000,2008-03-13,324,A
USGS,4172000,2008-03-14,332,A
USGS,4172000,2008-03-15,354,A
USGS,4172000,2008-03-16,385,A
USGS,4172000,2008-03-17,414,A
USGS,4172000,2008-03-18,434,A
USGS,4172000,2008-03-19,454,A
USGS,4172000,2008-03-20,466,A
USGS,4172000,2008-03-21,485,A
USGS,4172000,2008-03-22,503,A
USGS,4172000,2008-03-23,501,A
USGS,4172000,2008-03-24,491,A
USGS,4172000,2008-03-25,476,A
USGS,4172000,2008-03-26,461,A
