agency_cd,site_no,Datetime,Mean_CFS,71316_00060_00003_cd
USGS,4174518,1999-04-01,3.70,A
USGS,4174518,1999-04-02,3.70,A
USGS,4174518,1999-04-03,3.50,A
USGS,4174518,1999-04-04,34.0,A
USGS,4174518,1999-04-05,11.0,A
USGS,4174518,1999-04-06,6.00,A
USGS,4174518,1999-04-07,4.50,A
USGS,4174518,1999-04-08,3.90,A
USGS,4174518,1999-04-09,53.0,A
USGS,4174518,1999-04-10,16.0,A
USGS,4174518,1999-04-11,29.0,A
USGS,4174518,1999-04-12,13.0,A
USGS,4174518,1999-04-13,7.30,A
USGS,4174518,1999-04-14,5.60,A
USGS,4174518,1999-04-15,4.70,A
USGS,4174518,1999-04-16,46.0,A
USGS,4174518,1999-04-17,15.0,A
USGS,4174518,1999-04-18,8.30,A
USGS,4174518,1999-04-19,6.80,A
USGS,4174518,1999-04-20,9.10,A
USGS,4174518,1999-04-21,5.60,A
USGS,4174518,1999-04-22,39.0,A
USGS,4174518,1999-04-23,148,A
USGS,4174518,1999-04-24,31.0,A
USGS,4174518,1999-04-25,12.0,A
USGS,4174518,1999-04-26,8.30,A
USGS,4174518,1999-04-27,6.30,A
USGS,4174518,1999-04-28,5.10,A
USGS,4174518,1999-04-29,4.40,A
USGS,4174518,1999-04-30,4.00,A
USGS,4174518,1999-05-01,3.70,A
USGS,4174518,1999-05-02,3.50,A
USGS,4174518,1999-05-03,3.30,A
USGS,4174518,1999-05-04,3.30,A
USGS,4174518,1999-05-05,3.30,A
USGS,4174518,1999-05-06,3.30,A
USGS,4174518,1999-05-07,3.30,A
USGS,4174518,1999-05-08,3.40,A
USGS,4174518,1999-05-09,3.30,A
USGS,4174518,1999-05-10,3.10,A
USGS,4174518,1999-05-11,2.90,A
USGS,4174518,1999-05-12,3.70,A
USGS,4174518,1999-05-13,3.10,A
USGS,4174518,1999-05-14,3.10,A
USGS,4174518,1999-05-15,2.80,A
USGS,4174518,1999-05-16,2.70,A
USGS,4174518,1999-05-17,19.0,A
USGS,4174518,1999-05-18,88.0,A
USGS,4174518,1999-05-19,7.40,A
USGS,4174518,1999-05-20,4.20,A
USGS,4174518,1999-05-21,3.30,A
USGS,4174518,1999-05-22,10.0,A
USGS,4174518,1999-05-23,24.0,A
USGS,4174518,1999-05-24,18.0,A
USGS,4174518,1999-05-25,5.70,A
USGS,4174518,1999-05-26,3.70,A
USGS,4174518,1999-05-27,3.60,A
USGS,4174518,1999-05-28,2.90,A
USGS,4174518,1999-05-29,2.60,A
USGS,4174518,1999-05-30,2.40,A
USGS,4174518,1999-05-31,9.20,A
USGS,4174518,1999-06-01,7.60,A
USGS,4174518,1999-06-02,9.20,A
USGS,4174518,1999-06-03,5.10,A
USGS,4174518,1999-06-04,3.00,A
USGS,4174518,1999-06-05,2.60,A
USGS,4174518,1999-06-06,2.30,A
USGS,4174518,1999-06-07,2.20,A
USGS,4174518,1999-06-08,2.00,A
USGS,4174518,1999-06-09,2.10,A
USGS,4174518,1999-06-10,2.50,A
USGS,4174518,1999-06-11,2.10,A
USGS,4174518,1999-06-12,57.0,A
USGS,4174518,1999-06-13,48.0,A
USGS,4174518,1999-06-14,45.0,A
USGS,4174518,1999-06-15,7.80,A
USGS,4174518,1999-06-16,4.90,A
USGS,4174518,1999-06-17,4.00,A
USGS,4174518,1999-06-18,3.20,A
USGS,4174518,1999-06-19,2.90,A
USGS,4174518,1999-06-20,2.80,A
USGS,4174518,1999-06-21,2.80,A
USGS,4174518,1999-06-22,2.70,A
USGS,4174518,1999-06-23,2.70,A
USGS,4174518,1999-06-24,3.50,A
USGS,4174518,1999-06-25,4.50,A
USGS,4174518,1999-06-26,2.90,A
USGS,4174518,1999-06-27,36.0,A
USGS,4174518,1999-06-28,8.40,A
USGS,4174518,1999-06-29,5.30,A
USGS,4174518,1999-06-30,3.10,A
USGS,4174518,1999-07-01,47.0,A
USGS,4174518,1999-07-02,9.10,A
USGS,4174518,1999-07-03,14.0,A
USGS,4174518,1999-07-04,4.10,A
USGS,4174518,1999-07-05,2.60,A
USGS,4174518,1999-07-06,2.20,A
USGS,4174518,1999-07-07,2.00,A
USGS,4174518,1999-07-08,1.90,A
USGS,4174518,1999-07-09,13.0,A
USGS,4174518,1999-07-10,3.90,A
USGS,4174518,1999-07-11,2.30,A
USGS,4174518,1999-07-12,2.00,A
USGS,4174518,1999-07-13,1.80,A
USGS,4174518,1999-07-14,1.80,A
USGS,4174518,1999-07-15,1.70,A
USGS,4174518,1999-07-16,1.70,A
USGS,4174518,1999-07-17,11.0,A
USGS,4174518,1999-07-18,2.30,A
USGS,4174518,1999-07-19,25.0,A
USGS,4174518,1999-07-20,8.60,A
USGS,4174518,1999-07-21,9.90,A
USGS,4174518,1999-07-22,15.0,A
USGS,4174518,1999-07-23,41.0,A
USGS,4174518,1999-07-24,18.0,A
USGS,4174518,1999-07-25,5.10,A
USGS,4174518,1999-07-26,9.10,A
USGS,4174518,1999-07-27,5.90,A
USGS,4174518,1999-07-28,3.90,A
USGS,4174518,1999-07-29,4.60,A
USGS,4174518,1999-07-30,2.80,A
USGS,4174518,1999-07-31,9.30,A
USGS,4174518,1999-08-01,6.20,A
USGS,4174518,1999-08-02,2.80,A
USGS,4174518,1999-08-03,2.50,A
USGS,4174518,1999-08-04,3.80,A
USGS,4174518,1999-08-05,3.20,A
USGS,4174518,1999-08-06,2.50,A
USGS,4174518,1999-08-07,5.60,A
USGS,4174518,1999-08-08,5.00,A
USGS,4174518,1999-08-09,2.90,A
USGS,4174518,1999-08-10,5.60,A
USGS,4174518,1999-08-11,3.50,A
USGS,4174518,1999-08-12,2.60,A
USGS,4174518,1999-08-13,7.10,A
USGS,4174518,1999-08-14,4.70,A
USGS,4174518,1999-08-15,2.60,A
USGS,4174518,1999-08-16,2.00,A
USGS,4174518,1999-08-17,1.70,A
USGS,4174518,1999-08-18,1.70,A
USGS,4174518,1999-08-19,1.80,A
USGS,4174518,1999-08-20,1.60,A
USGS,4174518,1999-08-21,1.60,A
USGS,4174518,1999-08-22,1.50,A
USGS,4174518,1999-08-23,1.70,A
USGS,4174518,1999-08-24,3.50,A
USGS,4174518,1999-08-25,27.0,A
USGS,4174518,1999-08-26,25.0,A
USGS,4174518,1999-08-27,20.0,A
USGS,4174518,1999-08-28,4.20,A
USGS,4174518,1999-08-29,2.90,A
USGS,4174518,1999-08-30,2.60,A
USGS,4174518,1999-08-31,2.10,A
USGS,4174518,1999-09-01,2.10,A
USGS,4174518,1999-09-02,2.00,A
USGS,4174518,1999-09-03,1.90,A
USGS,4174518,1999-09-04,1.80,A
USGS,4174518,1999-09-05,2.30,A
USGS,4174518,1999-09-06,1.60,A
USGS,4174518,1999-09-07,1.90,A
USGS,4174518,1999-09-08,1.70,A
USGS,4174518,1999-09-09,1.70,A
USGS,4174518,1999-09-10,1.90,A
USGS,4174518,1999-09-11,1.70,A
USGS,4174518,1999-09-12,1.60,A
USGS,4174518,1999-09-13,2.20,A
USGS,4174518,1999-09-14,1.70,A
USGS,4174518,1999-09-15,1.70,A
USGS,4174518,1999-09-16,1.60,A
USGS,4174518,1999-09-17,1.80,A
USGS,4174518,1999-09-18,1.60,A
USGS,4174518,1999-09-19,1.60,A
USGS,4174518,1999-09-20,1.50,A
USGS,4174518,1999-09-21,3.90,A
USGS,4174518,1999-09-22,1.90,A
USGS,4174518,1999-09-23,1.60,A
USGS,4174518,1999-09-24,2.90,A
USGS,4174518,1999-09-25,1.60,A
USGS,4174518,1999-09-26,1.40,A
USGS,4174518,1999-09-27,1.30,A
USGS,4174518,1999-09-28,23.0,A
USGS,4174518,1999-09-29,72.0,A
USGS,4174518,1999-09-30,17.0,A
USGS,4174518,1999-10-01,4.10,A
USGS,4174518,1999-10-02,3.90,A
USGS,4174518,1999-10-03,13.0,A
USGS,4174518,1999-10-04,24.0,A
USGS,4174518,1999-10-05,7.50,A
USGS,4174518,1999-10-06,3.40,A
USGS,4174518,1999-10-07,2.80,A
USGS,4174518,1999-10-08,5.30,A
USGS,4174518,1999-10-09,4.60,A
USGS,4174518,1999-10-10,2.70,A
USGS,4174518,1999-10-11,2.50,A
USGS,4174518,1999-10-12,2.20,A
USGS,4174518,1999-10-13,22.0,A
USGS,4174518,1999-10-14,9.20,A
USGS,4174518,1999-10-15,3.50,A
USGS,4174518,1999-10-16,2.60,A
USGS,4174518,1999-10-17,2.40,A
USGS,4174518,1999-10-18,2.40,A
USGS,4174518,1999-10-19,2.40,A:e
USGS,4174518,1999-10-20,2.30,A:e
USGS,4174518,1999-10-21,2.30,A:e
USGS,4174518,1999-10-22,2.30,A:e
USGS,4174518,1999-10-23,2.20,A:e
USGS,4174518,1999-10-24,2.20,A:e
USGS,4174518,1999-10-25,2.20,A:e
USGS,4174518,1999-10-26,2.20,A:e
USGS,4174518,1999-10-27,2.20,A:e
USGS,4174518,1999-10-28,2.20,A:e
USGS,4174518,1999-10-29,2.10,A:e
USGS,4174518,1999-10-30,2.10,A:e
USGS,4174518,1999-10-31,2.20,A:e
USGS,4174518,1999-11-01,2.70,A
USGS,4174518,1999-11-02,9.20,A
USGS,4174518,1999-11-03,5.10,A
USGS,4174518,1999-11-04,2.90,A
USGS,4174518,1999-11-05,2.80,A
USGS,4174518,1999-11-06,2.10,A
USGS,4174518,1999-11-07,1.90,A
USGS,4174518,1999-11-08,1.80,A
USGS,4174518,1999-11-09,1.90,A
USGS,4174518,1999-11-10,2.00,A
USGS,4174518,1999-11-11,2.20,A
USGS,4174518,1999-11-12,2.20,A
USGS,4174518,1999-11-13,2.00,A
USGS,4174518,1999-11-14,1.60,A
USGS,4174518,1999-11-15,1.60,A
USGS,4174518,1999-11-16,2.10,A
USGS,4174518,1999-11-17,2.40,A
USGS,4174518,1999-11-18,2.90,A
USGS,4174518,1999-11-19,11.0,A
USGS,4174518,1999-11-20,10.0,A
USGS,4174518,1999-11-21,3.30,A
USGS,4174518,1999-11-22,2.50,A
USGS,4174518,1999-11-23,2.90,A
USGS,4174518,1999-11-24,7.30,A
USGS,4174518,1999-11-25,3.10,A
USGS,4174518,1999-11-26,7.50,A
USGS,4174518,1999-11-27,4.90,A
USGS,4174518,1999-11-28,2.70,A
USGS,4174518,1999-11-29,2.40,A
USGS,4174518,1999-11-30,2.20,A
USGS,4174518,1999-12-01,2.20,A
USGS,4174518,1999-12-02,2.20,A
USGS,4174518,1999-12-03,2.00,A
USGS,4174518,1999-12-04,2.10,A
USGS,4174518,1999-12-05,45.0,A
USGS,4174518,1999-12-06,47.0,A
USGS,4174518,1999-12-07,11.0,A
USGS,4174518,1999-12-08,6.60,A
USGS,4174518,1999-12-09,5.50,A
USGS,4174518,1999-12-10,6.30,A
USGS,4174518,1999-12-11,4.60,A
USGS,4174518,1999-12-12,4.00,A
USGS,4174518,1999-12-13,3.60,A
USGS,4174518,1999-12-14,28.0,A
USGS,4174518,1999-12-15,26.0,A
USGS,4174518,1999-12-16,20.0,A
USGS,4174518,1999-12-17,8.90,A
USGS,4174518,1999-12-18,5.20,A
USGS,4174518,1999-12-19,4.30,A
USGS,4174518,1999-12-20,16.0,A
USGS,4174518,1999-12-21,7.50,A
USGS,4174518,1999-12-22,4.10,A:e
USGS,4174518,1999-12-23,3.20,A:e
USGS,4174518,1999-12-24,2.90,A:e
USGS,4174518,1999-12-25,2.60,A:e
USGS,4174518,1999-12-26,2.40,A:e
USGS,4174518,1999-12-27,2.30,A:e
USGS,4174518,1999-12-28,2.20,A:e
USGS,4174518,1999-12-29,2.30,A:e
USGS,4174518,1999-12-30,2.50,A:e
USGS,4174518,1999-12-31,2.40,A:e
USGS,4174518,2000-01-01,2.30,A:e
USGS,4174518,2000-01-02,3.50,A:e
USGS,4174518,2000-01-03,16.0,A
USGS,4174518,2000-01-04,15.0,A
USGS,4174518,2000-01-05,5.30,A
USGS,4174518,2000-01-06,3.50,A
USGS,4174518,2000-01-07,3.00,A
USGS,4174518,2000-01-08,2.70,A
USGS,4174518,2000-01-09,6.60,A
USGS,4174518,2000-01-10,9.50,A
USGS,4174518,2000-01-11,5.90,A
USGS,4174518,2000-01-12,3.50,A
USGS,4174518,2000-01-13,3.10,A
USGS,4174518,2000-01-14,2.60,A
USGS,4174518,2000-01-15,2.30,A
USGS,4174518,2000-01-16,2.10,A
USGS,4174518,2000-01-17,1.90,A
USGS,4174518,2000-01-18,1.80,A:e
USGS,4174518,2000-01-19,1.80,A:e
USGS,4174518,2000-01-20,1.70,A:e
USGS,4174518,2000-01-21,1.70,A:e
USGS,4174518,2000-01-22,1.60,A:e
USGS,4174518,2000-01-23,1.60,A:e
USGS,4174518,2000-01-24,1.60,A:e
USGS,4174518,2000-01-25,1.50,A:e
USGS,4174518,2000-01-26,1.50,A:e
USGS,4174518,2000-01-27,1.40,A:e
USGS,4174518,2000-01-28,1.50,A:e
USGS,4174518,2000-01-29,1.50,A:e
USGS,4174518,2000-01-30,1.50,A:e
USGS,4174518,2000-01-31,1.50,A:e
USGS,4174518,2000-02-01,1.50,A:e
USGS,4174518,2000-02-02,1.50,A:e
USGS,4174518,2000-02-03,1.70,A:e
USGS,4174518,2000-02-04,1.90,A:e
USGS,4174518,2000-02-05,2.00,A:e
USGS,4174518,2000-02-06,1.80,A:e
USGS,4174518,2000-02-07,1.60,A:e
USGS,4174518,2000-02-08,1.60,A:e
USGS,4174518,2000-02-09,2.00,A:e
USGS,4174518,2000-02-10,2.50,A:e
USGS,4174518,2000-02-11,3.00,A:e
USGS,4174518,2000-02-12,2.20,A:e
USGS,4174518,2000-02-13,2.00,A:e
USGS,4174518,2000-02-14,2.20,A:e
USGS,4174518,2000-02-15,2.40,A:e
USGS,4174518,2000-02-16,2.50,A:e
USGS,4174518,2000-02-17,2.40,A:e
USGS,4174518,2000-02-18,2.50,A:e
USGS,4174518,2000-02-19,2.70,A:e
USGS,4174518,2000-02-20,2.50,A:e
USGS,4174518,2000-02-21,3.50,A:e
USGS,4174518,2000-02-22,9.00,A:e
USGS,4174518,2000-02-23,27.0,A
USGS,4174518,2000-02-24,23.0,A
USGS,4174518,2000-02-25,15.0,A
USGS,4174518,2000-02-26,7.60,A
USGS,4174518,2000-02-27,26.0,A
USGS,4174518,2000-02-28,8.00,A
USGS,4174518,2000-02-29,5.20,A
USGS,4174518,2000-03-01,4.30,A
USGS,4174518,2000-03-02,3.70,A
USGS,4174518,2000-03-03,3.30,A
USGS,4174518,2000-03-04,2.70,A
USGS,4174518,2000-03-05,2.30,A
USGS,4174518,2000-03-06,2.50,A
USGS,4174518,2000-03-07,2.50,A
USGS,4174518,2000-03-08,2.40,A
USGS,4174518,2000-03-09,2.30,A
USGS,4174518,2000-03-10,2.10,A
USGS,4174518,2000-03-11,1.90,A
USGS,4174518,2000-03-12,1.70,A
USGS,4174518,2000-03-13,1.80,A
USGS,4174518,2000-03-14,1.90,A
USGS,4174518,2000-03-15,4.60,A
USGS,4174518,2000-03-16,14.0,A
