agency_cd,site_no,Datetime,Mean_CFS,71316_00060_00003_cd,ranked_column_m,numbered_col,P_Value
USGS,4174518,2017-10-15,23.8,A,388.0,1175,10.718232044198896
USGS,4174518,2017-10-24,24.4,A,373.0,1184,10.303867403314918
USGS,4174518,2017-11-04,23.7,A,390.0,1195,10.773480662983426
USGS,4174518,2017-11-06,25.0,A,359.0,1197,9.917127071823204
USGS,4174518,2018-01-11,27.1,A:e,318.0,1263,8.784530386740332
USGS,4174518,2018-01-23,26.7,A,324.0,1275,8.950276243093922
USGS,4174518,2018-02-16,24.0,A,383.0,1299,10.580110497237568
USGS,4174518,2018-02-19,24.1,A,381.0,1302,10.524861878453038
USGS,4174518,2018-03-04,28.5,A,293.0,1315,8.093922651933703
USGS,4174518,2018-04-05,24.8,A,363.0,1347,10.027624309392264
USGS,4174518,2018-05-05,28.3,A,296.0,1377,8.176795580110499
USGS,4174518,2018-05-17,22.7,A,416.0,1389,11.491712707182321
USGS,4174518,2018-06-03,24.6,A,371.0,1406,10.248618784530386
USGS,4174518,2018-08-07,24.7,A,365.0,1471,10.082872928176796
USGS,4174518,2018-09-05,25.8,A,341.0,1500,9.41988950276243
USGS,4174518,2018-09-07,25.0,A,358.0,1502,9.88950276243094
USGS,4174518,2018-09-25,27.9,A,308.0,1520,8.508287292817679
USGS,4174518,2018-09-26,24.3,A,375.0,1521,10.359116022099448
USGS,4174518,2018-10-08,23.6,A,391.0,1533,10.80110497237569
USGS,4174518,2018-10-31,24.6,A,367.0,1556,10.138121546961326
USGS,4174518,2018-11-03,28.6,A,292.0,1559,8.066298342541437
USGS,4174518,2018-11-26,24.6,A,370.0,1582,10.220994475138122
USGS,4174518,2018-11-27,22.7,A,417.0,1583,11.519337016574585
USGS,4174518,2018-12-21,25.9,A,339.0,1607,9.3646408839779
USGS,4174518,2018-12-31,28.7,A,290.0,1617,8.011049723756907
USGS,4174518,2019-01-23,26.3,A,331.0,1640,9.143646408839778
USGS,4174518,2019-02-04,24.9,A,361.0,1652,9.972375690607734
USGS,4174518,2019-02-25,28.4,A,295.0,1673,8.149171270718233
USGS,4174518,2019-03-11,28.0,A,306.0,1687,8.453038674033149
USGS,4174518,2019-03-16,26.0,A,335.0,1692,9.25414364640884
USGS,4174518,2019-04-01,27.9,A,307.0,1708,8.480662983425415
USGS,4174518,2019-04-15,22.8,A,412.0,1722,11.38121546961326
USGS,4174518,2019-06-03,28.1,A,302.0,1771,8.342541436464089
USGS,4174518,2019-06-12,26.0,A,337.0,1780,9.30939226519337
USGS,4174518,2019-06-15,24.2,A,379.0,1783,10.46961325966851
USGS,4174518,2019-06-17,27.1,A,316.0,1785,8.729281767955802
USGS,4174518,2019-06-20,25.0,A,356.0,1788,9.83425414364641
USGS,4174518,2019-06-21,28.0,A,304.0,1789,8.397790055248619
USGS,4174518,2019-07-04,26.1,A,332.0,1802,9.171270718232044
USGS,4174518,2019-07-08,28.3,A,299.0,1806,8.259668508287293
USGS,4174518,2019-07-19,23.0,A,406.0,1817,11.215469613259668
USGS,4174518,2019-09-28,24.4,A,374.0,1888,10.331491712707182
USGS,4174518,2019-10-04,24.0,A,382.0,1894,10.552486187845304
USGS,4174518,2019-10-28,27.1,A,317.0,1918,8.756906077348066
USGS,4174518,2019-11-02,25.0,A,360.0,1923,9.94475138121547
USGS,4174518,2020-01-28,23.2,A,400.0,2010,11.049723756906078
USGS,4174518,2020-03-31,26.1,A,334.0,2073,9.226519337016574
USGS,4174518,2020-05-17,23.9,A,384.0,2120,10.607734806629834
USGS,4174518,2020-06-11,27.1,A,315.0,2145,8.701657458563536
USGS,4174518,2020-07-16,26.1,A,333.0,2180,9.19889502762431
USGS,4174518,2020-07-21,23.2,A,398.0,2185,10.994475138121548
USGS,4174518,2020-08-03,23.3,A,397.0,2198,10.966850828729282
USGS,4174518,2020-10-22,26.9,A,321.0,2278,8.867403314917127
USGS,4174518,2021-02-25,22.1,A:e,432.0,2404,11.933701657458563
USGS,4174518,2021-04-13,25.3,A,348.0,2451,9.613259668508286
USGS,4174518,2021-05-28,27.8,A,310.0,2496,8.56353591160221
USGS,4174518,2021-05-29,26.7,A,325.0,2497,8.977900552486188
USGS,4174518,2021-06-03,23.8,A,387.0,2502,10.69060773480663
USGS,4174518,2021-07-01,27.1,A,314.0,2530,8.67403314917127
USGS,4174518,2021-07-18,25.9,A,338.0,2547,9.337016574585636
USGS,4174518,2021-08-14,23.1,A:e,402.0,2574,11.104972375690608
USGS,4174518,2021-10-04,23.2,A,399.0,2625,11.022099447513813
USGS,4174518,2021-10-16,25.8,A,342.0,2637,9.447513812154696
USGS,4174518,2021-10-27,25.2,A,350.0,2648,9.668508287292818
USGS,4174518,2021-10-31,27.4,A,313.0,2652,8.646408839779006
USGS,4174518,2021-12-13,22.7,A,413.0,2695,11.408839779005525
USGS,4174518,2022-02-24,24.4,A,372.0,2768,10.276243093922652
USGS,4174518,2022-03-09,22.4,A,424.0,2781,11.712707182320441
USGS,4174518,2022-03-25,28.0,A,305.0,2797,8.425414364640885
USGS,4174518,2022-03-26,23.1,A,401.0,2798,11.077348066298342
USGS,4174518,2022-04-25,26.4,A,330.0,2828,9.116022099447514
USGS,4174518,2022-05-03,22.1,A,433.0,2836,11.96132596685083
USGS,4174518,2022-05-05,23.9,A,385.0,2838,10.6353591160221
USGS,4174518,2022-06-09,27.6,A,311.0,2873,8.591160220994475
USGS,4174518,2022-08-22,25.2,A,351.0,2947,9.696132596685082
USGS,4174518,2023-01-01,25.0,A,357.0,3079,9.861878453038674
USGS,4174518,2023-01-04,22.3,A,428.0,3082,11.823204419889503
USGS,4174518,2023-02-24,24.7,A,364.0,3133,10.05524861878453
USGS,4174518,2023-03-01,23.0,A,407.0,3138,11.243093922651934
USGS,4174518,2023-03-08,28.3,A,298.0,3145,8.232044198895029
USGS,4174518,2023-03-09,22.4,A,425.0,3146,11.740331491712707
USGS,4174518,2023-03-17,23.1,A,404.0,3154,11.160220994475138
USGS,4174518,2023-03-25,22.2,A,429.0,3162,11.850828729281767
USGS,4174518,2023-03-27,24.6,A,369.0,3164,10.193370165745856
USGS,4174518,2023-04-03,22.8,A,411.0,3171,11.353591160220994
USGS,4174518,2023-04-04,25.6,A,344.0,3172,9.502762430939226
USGS,4174518,2023-04-05,22.6,A,418.0,3173,11.546961325966851
USGS,4174518,2023-04-30,25.1,A,353.0,3198,9.751381215469614
USGS,4174518,2023-07-03,27.5,A,312.0,3262,8.61878453038674
USGS,4174518,2023-07-16,25.8,A,340.0,3275,9.392265193370166
USGS,4174518,2023-07-20,23.4,A,395.0,3279,10.911602209944752
USGS,4174518,2023-07-28,25.1,A,352.0,3287,9.723756906077348
USGS,4174518,2023-08-06,22.7,A,414.0,3296,11.43646408839779
USGS,4174518,2023-08-12,22.0,A,434.0,3302,11.988950276243093
USGS,4174518,2023-08-26,25.4,A,347.0,3316,9.585635359116022
USGS,4174518,2023-12-02,26.4,A,329.0,3414,9.088397790055248
USGS,4174518,2023-12-23,22.5,P,421.0,3435,11.629834254143647
USGS,4174518,2024-01-09,24.7,P,366.0,3452,10.11049723756906
USGS,4174518,2024-01-30,27.8,P,309.0,3473,8.535911602209945
USGS,4174518,2024-02-01,24.1,P,380.0,3475,10.497237569060774
USGS,4174518,2024-03-10,22.4,P,422.0,3513,11.657458563535911
USGS,4174518,2024-04-02,28.4,P,294.0,3536,8.121546961325967
USGS,4174518,2024-04-14,22.9,P,409.0,3548,11.298342541436464
USGS,4174518,2024-04-19,28.2,P,301.0,3553,8.314917127071823
USGS,4174518,2024-04-28,22.6,P,419.0,3562,11.574585635359117
USGS,4174518,2024-05-27,24.8,P,362.0,3591,10.0
USGS,4174518,2024-06-17,23.6,P,392.0,3612,10.828729281767956
USGS,4174518,2024-06-18,24.6,P,368.0,3613,10.165745856353592
USGS,4174518,2024-06-20,22.6,P,420.0,3615,11.602209944751381
