agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,4174500,60,71299,1,1,2008,2015,8,2009,1330,2013,352,686,,,424,443,600,965,1120,,
USGS,4174500,60,71299,1,2,2008,2015,8,2009,1410,2013,282,663,,,392,422,568,923,1110,,
USGS,4174500,60,71299,1,3,2008,2015,8,2009,1290,2013,297,622,,,345,384,523,857,1020,,
USGS,4174500,60,71299,1,4,2008,2015,8,2009,1240,2013,294,620,,,335,374,561,823,967,,
USGS,4174500,60,71299,1,5,2008,2015,8,2009,1180,2014,206,566,,,273,298,522,803,930,,
USGS,4174500,60,71299,1,6,2008,2015,8,2009,1090,2014,200,553,,,274,301,499,809,906,,
USGS,4174500,60,71299,1,7,2008,2015,8,2009,962,2013,289,615,,,313,354,551,911,934,,
USGS,4174500,60,71299,1,8,2008,2015,8,2008,1570,2013,292,673,,,294,331,513,903,1060,,
USGS,4174500,60,71299,1,9,2008,2015,8,2008,2290,2013,291,741,,,300,338,483,858,1180,,
USGS,4174500,60,71299,1,10,2008,2015,8,2008,2410,2013,294,728,,,296,333,467,727,1070,,
USGS,4174500,60,71299,1,11,2008,2015,8,2008,2250,2011,310,756,,,387,414,586,737,1040,,
USGS,4174500,60,71299,1,12,2008,2015,8,2008,2160,2011,297,735,,,390,415,540,757,1040,,
USGS,4174500,60,71299,1,13,2008,2015,8,2008,2110,2011,300,738,,,371,400,563,779,1050,,
USGS,4174500,60,71299,1,14,2008,2015,8,2008,2020,2011,299,724,,,345,373,539,829,1090,,
USGS,4174500,60,71299,1,15,2008,2015,8,2008,1910,2011,299,716,,,351,382,539,863,1110,,
USGS,4174500,60,71299,1,16,2008,2015,8,2008,1780,2011,288,706,,,341,374,600,837,1060,,
USGS,4174500,60,71299,1,17,2008,2015,8,2008,1580,2011,239,727,,,325,366,626,1020,1160,,
USGS,4174500,60,71299,1,18,2008,2015,8,2008,1440,2011,256,715,,,345,380,625,1130,1300,,
USGS,4174500,60,71299,1,19,2008,2015,8,2012,1150,2011,240,637,,,338,375,596,971,1090,,
USGS,4174500,60,71299,1,20,2008,2015,8,2008,1120,2011,229,620,,,331,370,570,908,997,,
USGS,4174500,60,71299,1,21,2008,2015,8,2008,1200,2011,211,610,,,328,370,538,851,951,,
USGS,4174500,60,71299,1,22,2008,2015,8,2008,1010,2011,239,567,,,327,364,491,833,916,,
USGS,4174500,60,71299,1,23,2008,2015,8,2012,1040,2011,200,555,,,322,367,479,865,999,,
USGS,4174500,60,71299,1,24,2008,2015,8,2012,1180,2011,201,545,,,316,354,443,799,968,,
USGS,4174500,60,71299,1,25,2008,2015,8,2012,1090,2013,197,521,,,229,259,407,843,966,,
USGS,4174500,60,71299,1,26,2008,2015,8,2012,1040,2013,215,520,,,222,245,485,753,851,,
USGS,4174500,60,71299,1,27,2008,2015,8,2012,1100,2013,206,501,,,224,233,454,704,819,,
USGS,4174500,60,71299,1,28,2008,2015,8,2012,1150,2011,228,515,,,235,266,437,681,808,,
USGS,4174500,60,71299,1,29,2008,2015,8,2012,1090,2011,229,516,,,251,295,481,599,704,,
USGS,4174500,60,71299,1,30,2008,2015,8,2012,1030,2011,228,556,,,271,314,480,881,999,,
USGS,4174500,60,71299,1,31,2008,2015,8,2012,1060,2011,207,547,,,279,324,419,897,1020,,
USGS,4174500,60,71299,2,1,2008,2015,8,2012,1200,2011,234,587,,,280,320,473,851,956,,
USGS,4174500,60,71299,2,2,2008,2015,8,2012,1190,2011,207,580,,,269,312,470,820,900,,
USGS,4174500,60,71299,2,3,2008,2015,8,2012,1120,2011,262,574,,,292,318,471,817,894,,
USGS,4174500,60,71299,2,4,2008,2015,8,2012,1010,2014,269,553,,,276,283,490,820,879,,
USGS,4174500,60,71299,2,5,2008,2015,8,2013,906,2011,241,563,,,261,276,516,890,904,,
